species,flower_color,flower_shape,pollination_guild,pollination_notes,mating_system,self_incompatibility,evidence_type,confidence
Loxococcus rupicola (Thwaites) H.Wendl. & Drude,"white, cream",radial,wind,"Palm with small whitish flowers; many palms are wind or generalist insect pollinated, here treated as mainly wind.",mixed_mating,unknown,inference,low
Maesa indica (Roxb.) A.DC.,"white, cream",radial,bees,"Small white Maesa flowers forming clusters, visited by generalist bees and flies.",mixed_mating,unknown,inference,low
Melampodium L.,yellow,radial,bees,"Asteraceae with yellow daisy-like heads attracting bees, flies, and butterflies.",mixed_mating,likely_SI,inference,medium
Memecylon capitellatum L.,white,radial,bees,"Dense heads of small white flowers, likely insect-pollinated by bees and flies.",mixed_mating,unknown,inference,low
Michelia champaca L.,"orange, yellow",radial,beetles,"Magnoliaceae tree with fragrant large flowers, typically beetle-pollinated with occasional bees.",obligate_outcrossing,likely_SI,inference,medium
Moonia heterophylla Arn.,yellow,radial,bees,Asteraceae herb with yellow composite heads visited by bees and other insects.,mixed_mating,likely_SI,inference,low
Neolitsea australiensis Kosterm.,"greenish, yellowish",radial,bees,"Lauraceae tree with small greenish flowers visited by generalist insects, especially bees and flies.",mixed_mating,unknown,inference,low
Nephrolepidaceae,flowerless,none,none,"Fern family; reproduces by spores, not flowers or pollination.",none,none,inference,high
Nymphaea mexicana Zucc.,yellow,radial,beetles,Water lily with showy floating yellow flowers often visited by beetles and bees.,mixed_mating,unknown,inference,low
"Oberonia mahaeliyensis Bandara, Lakkana & Ediriweera, 2022","green, yellow",bilateral,flies,Tiny epiphytic orchid with small flowers likely pollinated by small flies or gnats.,obligate_outcrossing,likely_SI,inference,low
Osbeckia aspera (L.) Blume,"purple, pink",radial,bees,"Melastomataceae shrub with poricidal anthers, typically buzz-pollinated by bees.",mixed_mating,likely_SI,inference,medium
Palaquium grande (Thwaites) Engl.,"white, cream",radial,bees,"Sapotaceae tree with small creamy flowers, probably insect-pollinated by bees and moths.",mixed_mating,unknown,inference,low
Pandanus kaida Kurz,"white, cream",radial,wind,Pandanus with small pale flowers; many species are wind or generalist insect pollinated; treated as mixed but wind-dominated.,mixed_mating,unknown,inference,low
Passiflora antioquiensis H.Karst.,"red, pink",radial,hummingbirds,"Showy tubular passionflower, typically bird-pollinated (hummingbirds) in native range.",obligate_outcrossing,likely_SI,inference,medium
Pedicularis zeylanica Benth.,"pink, purple",bilateral,bees,"Zygomorphic Pedicularis with spurred corolla, usually specialized on bumblebees and long-tongued bees.",obligate_outcrossing,likely_SI,inference,medium
Peristylus brevilobus Thwaites,"greenish, white",bilateral,moths,Terrestrial orchid with spurred flowers likely adapted to nocturnal moth pollination.,obligate_outcrossing,likely_SI,inference,low
Pholidota imbricata Lindl.,"white, greenish",bilateral,bees,"Epiphytic orchid with small pseudobulbous racemes, usually bee or small insect pollinated.",obligate_outcrossing,likely_SI,inference,medium
"Phyllanthus polyphyllus B.Heyne ex Wall., 1847","greenish, yellowish",radial,flies,"Small, inconspicuous Phyllanthus flowers likely visited by small flies and bees; also some selfing.",mixed_mating,likely_SC,inference,low
Pinalia tricolor (Thwaites) Kuntze,"white, purple",bilateral,bees,Epiphytic orchid (formerly Eria) with small zygomorphic flowers pollinated by bees or small insects.,obligate_outcrossing,likely_SI,inference,low
Piper sylvestre Lour.,greenish,radial,flies,"Spicate Piper flowers with reduced perianth, generally fly- and small-beetle pollinated, with some wind component.",mixed_mating,likely_SC,inference,medium
Plumeria rubra var. acutifolia (Poir.) L.H.Bailey & E.Z.Bailey,"white, yellow, pink",radial,moths,"Strongly fragrant tubular flowers, open at night, typically sphingid moth pollinated in native range.",mixed_mating,likely_SC,inference,medium
"Podochilus warnagalensis Wijew., Priyad., Arang., Atthan., Samar. & Kumar","white, greenish",bilateral,bees,Tiny epiphytic orchid with small zygomorphic flowers likely pollinated by small bees or flies.,obligate_outcrossing,likely_SI,inference,low
Polyalthia korinti (Dunal) Thwaites,"yellow, cream",radial,beetles,"Annonaceae tree with fleshy tepals, likely beetle-pollinated with some small fly visitors.",obligate_outcrossing,likely_SI,inference,medium
Psychotria zeylanica Sohmer,"white, cream",radial,bees,"Rubiaceae shrub with small tubular flowers, usually bee and butterfly pollinated.",mixed_mating,likely_SI,inference,medium
Pteridium aquilinum subsp. wightianum (Wall. ex J.Agardh) W.C.Shieh,flowerless,none,none,"Bracken fern; reproduces via spores, no flowers or pollination.",none,none,inference,high
Quassia indica (Gaertn.) Noot.,"red, pink",radial,bees,Simaroubaceae shrub with showy reddish flowers likely attracting bees and butterflies.,mixed_mating,unknown,inference,low
Rauvolfia verticillata (Lour.) Baill.,"white, greenish",radial,moths,"Apocynaceae shrub with tubular fragrant flowers, often moth- and bee-pollinated.",mixed_mating,likely_SC,inference,low
Reissantia indica (Willd.) N.Hallé,"greenish, yellowish",radial,bees,Celastraceae climber with small flowers likely visited by generalist bees and flies.,mixed_mating,unknown,inference,low
Richardia L.,white,radial,bees,Small white Rubiaceae herb flowers visited by bees and flies; some species weed-like with selfing.,mixed_mating,likely_SC,inference,low
Rivea hypocrateriformis (Desr.) Choisy,white,radial,moths,"Convolvulaceae climber with nocturnal fragrant tubular flowers, typically moth pollinated.",mixed_mating,likely_SC,inference,medium
Ruellia patula Jacq.,"purple, blue",bilateral,bees,Acanthaceae herb with zygomorphic flowers visited mainly by bees and butterflies; some autonomous selfing.,mixed_mating,likely_SC,inference,medium
Rungia repens (L.) Nees,"purple, blue",bilateral,bees,"Small tubular Acanthaceae flowers pollinated by bees and small insects, often capable of selfing.",mixed_mating,likely_SC,inference,low
Sabicea ceylanica Puff,"white, cream",radial,bees,Rubiaceae liana with clustered small flowers pollinated by bees and butterflies.,mixed_mating,likely_SI,inference,low
Salicornia brachiata Roxb.,"green, red",reduced,wind,"Succulent halophyte with highly reduced flowers, mostly wind-pollinated with some selfing.",mainly_selfing,likely_SC,inference,medium
Salviniaceae,flowerless,none,none,"Free-floating aquatic fern family; reproduction via spores, no flowers.",none,none,inference,high
Senecio ludens C.B.Clarke,yellow,radial,bees,"Asteraceae with yellow heads, primarily bee and fly pollinated.",mixed_mating,likely_SI,inference,low
Senna bacillaris (L.f.) H.S.Irwin & Barneby,yellow,bilateral,bees,"Cassia-like Fabaceae with yellow zygomorphic flowers, buzz-pollinated by bees.",mixed_mating,likely_SC,inference,medium
Senna sophera (L.) Roxb.,yellow,bilateral,bees,Bee-pollinated Senna with showy yellow flowers and poricidal anthers for buzz pollination.,mixed_mating,likely_SC,inference,medium
Sida rhombifolia var. scabrida (Wight & Arn.) Mast.,yellow,radial,bees,Malvaceae shrub with open yellow flowers attracting bees and other insects; often self-compatible.,mixed_mating,likely_SC,inference,medium
Sphaeropteris crinita (Hook.) R.M.Tryon,flowerless,none,none,Tree fern producing spores instead of flowers; no pollination.,none,none,inference,high
Stichorkis gibbosa (Finet) J.J.Wood,"greenish, white",bilateral,bees,Epiphytic orchid with small zygomorphic flowers likely pollinated by small bees or flies.,obligate_outcrossing,likely_SI,inference,low
Strobilanthes laxa T.Anderson,"purple, blue",bilateral,bees,Acanthaceae shrub with tubular zygomorphic flowers mainly visited by bees.,mixed_mating,likely_SC,inference,medium
Strobilanthes zeylanica T.Anderson,"purple, blue",bilateral,bees,"Bee-pollinated tubular flowers, possibly mass-flowering with synchronized episodes.",mixed_mating,likely_SC,inference,low
Stylosanthes fruticosa (Retz.) Alston,"yellow, orange",bilateral,bees,Small papilionoid Fabaceae flowers pollinated by bees; many Stylosanthes can self.,mixed_mating,likely_SC,inference,medium
Suaeda vermiculata Forssk. ex J.F.Gmel.,"green, red",reduced,wind,"Chenopodiaceae halophyte with reduced flowers, mostly wind-pollinated, some selfing.",mainly_selfing,likely_SC,inference,medium
Syngonium Schott,"greenish, white",radial,beetles,"Araceae with spadix and spathe, often beetle-pollinated or by small flies.",mixed_mating,unknown,inference,low
Syzygium zeylanicum (L.) DC.,white,radial,bees,Myrtaceae tree with massed white brush-like flowers offering nectar and pollen to bees and flies.,mixed_mating,likely_SC,inference,medium
Tamarix indica Willd.,"pink, white",radial,wind,"Tamarisk with many small flowers; mixed wind and insect pollination, here treated as largely wind-pollinated.",mixed_mating,likely_SC,inference,low
Taraxacum javanicum Soest,yellow,radial,bees,Dandelion-like composite with yellow heads; insect-pollinated but often apomictic or selfing.,mainly_selfing,likely_SC,inference,medium
Tephrosia maxima (L.) Pers.,"purple, pink",bilateral,bees,"Papilionoid Fabaceae with keel flowers adapted to bee pollination, often self-compatible.",mixed_mating,likely_SC,inference,medium
Tephrosia tinctoria (L.) Pers.,purple,bilateral,bees,Bee-pollinated papilionoid flowers; many Tephrosia capable of autonomous selfing.,mixed_mating,likely_SC,inference,medium
"Thottea duchartrei Sivar., A.Babu & Balach.","purple, maroon",radial,flies,"Low, often foul-scented Aristolochiaceae flowers typically fly-pollinated.",obligate_outcrossing,likely_SI,inference,low
Toddalia asiatica (L.) Lam.,"white, greenish",radial,bees,"Rutaceae climber with small citrus-like flowers, pollinated by bees and flies.",mixed_mating,likely_SC,inference,medium
Torenia L.,"purple, yellow, white",bilateral,bees,"Zygomorphic snapdragon-like flowers with nectar guides, strongly bee-pollinated; often self-compatible.",mixed_mating,likely_SC,inference,medium
Tritaxis glabella var. glabella,"white, purple",bilateral,bees,"Small zygomorphic flowers of an herbaceous plant, likely bee-pollinated; system poorly known.",mixed_mating,unknown,inference,low
Uncaria elliptica R.Br. ex G.Don,"white, cream",radial,bees,Rubiaceae liana with globose heads of small tubular flowers visited by bees and butterflies.,mixed_mating,likely_SI,inference,medium
Utricularia scandens Benj.,"yellow, purple",bilateral,flies,"Bladderwort with zygomorphic insect-pollinated flowers, likely visited by small bees and flies.",mixed_mating,unknown,inference,low
"Vachellia planifrons (J.König ex Wight & Arn.) Ragup., Seigler, Ebinger & Maslin","cream, white",radial,bees,"Acacia-type inflorescences with many small flowers, mainly bee- and fly-pollinated; often self-compatible.",mixed_mating,likely_SC,inference,medium
Vanda testacea (Lindl.) Rchb.f.,"yellow, blue",bilateral,bees,"Epiphytic orchid with showy zygomorphic flowers, typically bee-pollinated.",obligate_outcrossing,likely_SI,inference,medium
Wrightia angustifolia Thwaites,white,radial,moths,"Apocynaceae shrub with fragrant tubular white flowers, likely moth- and bee-pollinated.",mixed_mating,likely_SC,inference,low
Wrightia arborea (Dennst.) Mabb.,"white, cream",radial,moths,"Fragrant tubular flowers, probably moth-pollinated at night and bees by day.",mixed_mating,likely_SC,inference,low
Abelmoschus angulosus Wall. ex Wight & Arn.,"yellow, pink",radial,bees,"Malvaceae with hibiscus-like flowers, mainly bee-pollinated, often self-compatible.",mixed_mating,likely_SC,inference,medium
Abelmoschus ficulneus (L.) Wight & Arn. ex Wight,"white, pink",radial,bees,Showy hibiscus-like flowers pollinated by bees; cleistogamy or selfing sometimes occurs.,mixed_mating,likely_SC,inference,medium
Abildgaardia triflora (L.) Abeyw.,flowerless,none,wind,"Sedge with reduced spikelet flowers, wind-pollinated; treated here as flowerless for showy floral traits.",mainly_selfing,unknown,inference,medium
Abrus Adans.,"pink, purple, white",bilateral,bees,"Papilionoid Fabaceae vine (e.g. Abrus precatorius) with bee-pollinated flowers, often self-compatible.",mixed_mating,likely_SC,inference,medium
Acacia farnesiana (L.) Willd.,yellow,radial,bees,"Pompom-like yellow inflorescences rich in pollen and nectar, heavily visited by bees and flies.",mixed_mating,likely_SC,inference,high
Acanthophippium bicolor Lindl.,"cream, purple",bilateral,bees,"Terrestrial orchid with large hooded flowers, typically bee-pollinated, obligately outcrossing.",obligate_outcrossing,likely_SI,inference,medium
Acilepis nemoralis (Thwaites) H.Rob. & Skvarla,yellow,radial,bees,"Asteraceae with small yellow heads, pollinated mainly by bees and flies.",mixed_mating,likely_SI,inference,low
Acrotrema dissectum Thwaites,"yellow, white",radial,bees,"Dilleniaceae herb with open radial flowers, visited by pollen-collecting bees.",mixed_mating,unknown,inference,low
Acrotrema lyratum Thwaites,"yellow, white",radial,bees,Similar to congeners with open flowers attracting generalist bees.,mixed_mating,unknown,inference,low
Actiniopteris radiata (J.Koenig ex Sw.) Link,flowerless,none,none,Fern producing spores on fronds; lacks flowers and pollination.,none,none,inference,high
Actinodaphne elegans Thwaites,"greenish, yellowish",radial,bees,"Lauraceae tree with clusters of small flowers, insect-pollinated by bees and flies.",mixed_mating,unknown,inference,low
Adenanthera aglaosperma Alston,"white, cream",radial,bees,"Mimosoid Fabaceae tree with small flowers in spikes, visited by bees and other insects.",mixed_mating,likely_SC,inference,low
Adenia hondala (Gaertn.) W.J.de Wilde,"greenish, white",radial,flies,"Passifloraceae climber with small flowers, probably fly- and bee-pollinated.",mixed_mating,unknown,inference,low
Adenia peltata Schinz,"greenish, white",radial,flies,"Similar to other Adenia with small, pale flowers attracting flies and small bees.",mixed_mating,unknown,inference,low
Aerangis hologlottis (Schltr.) Schltr.,white,bilateral,moths,Epiphytic orchid with long-spurred white flowers adapted to nocturnal moth pollination.,obligate_outcrossing,likely_SI,inference,medium
Aeschynanthus ceylanicus Gard.,"red, orange",bilateral,birds,"Gesneriaceae epiphyte with tubular brightly colored flowers, often bird- or bee-pollinated; here treated as bird-focused.",mixed_mating,unknown,inference,low
Afrohybanthus enneaspermus (L.) Flicker,"purple, violet",bilateral,bees,Violaceae herb with zygomorphic flowers visited by bees; some selfing possible.,mixed_mating,likely_SC,inference,low
Alangium salviifolium (L.f.) Wangerin,"white, cream",radial,bees,Cornaceae/Alangiaceae tree with small fragrant flowers attracting bees and butterflies.,mixed_mating,unknown,inference,low
Albizia falcataria (L.) Fosberg,"white, cream",radial,bees,Mimosoid Fabaceae tree with puffball inflorescences pollinated by bees and other insects.,mixed_mating,likely_SC,inference,medium
Alchemilla indica Gardner,"greenish, yellowish",radial,self,Rosaceae herb with small apomictic or selfing flowers; insect visitors possible but not required.,mainly_selfing,likely_SC,inference,low
Alismatales,"white, yellow",radial,mixed,Order including many aquatic angiosperms with insect- and wind-pollinated flowers; treated generically as mixed guild.,mixed_mating,unknown,inference,low
Allium hookeri Thwaites,white,radial,bees,"Umbel-forming Allium with nectar-rich flowers, pollinated by bees, flies, and butterflies.",mixed_mating,likely_SC,inference,medium
Allophylus zeylanicus L.,"white, cream",radial,bees,"Sapindaceae shrub with small insect-pollinated flowers, mainly bees and flies.",mixed_mating,unknown,inference,low
Alphonsea lutea (Roxb.) Hook.f. & Thomson,yellow,radial,beetles,"Annonaceae tree with fleshy tepals, typically beetle-pollinated.",obligate_outcrossing,likely_SI,inference,medium
Alphonsea zeylanica Hook.f. & Thomson,"yellow, cream",radial,beetles,Similar Annonaceae species likely relying on beetle pollination.,obligate_outcrossing,likely_SI,inference,medium
Alpinia nigra (Gaertn.) Burtt,"white, cream",bilateral,bees,"Zingiberaceae with showy labellum, often bee- and bird-pollinated.",mixed_mating,unknown,inference,low
Alseodaphne semecarpifolia Nees,"greenish, yellowish",radial,bees,Lauraceae tree with small insect-pollinated flowers visited by bees and flies.,mixed_mating,unknown,inference,low
Amherstia Wall.,"red, pink",bilateral,birds,Ornamental legume tree (Amherstia nobilis) with large pendant flowers adapted to bird and bee pollination.,mixed_mating,unknown,inference,low
Amomum nemorale (Thwaites) Trimen,"white, yellow",bilateral,bees,"Zingiberaceae herb with labellate flowers, insect-pollinated mainly by bees.",mixed_mating,unknown,inference,low
Amomum pterocarpum Thwaites,"white, yellow",bilateral,bees,"Similar ginger with showy floral tube, visited by bees and possibly flies.",mixed_mating,unknown,inference,low
Anaphalis DC.,white,actinomorphic,bees,Asteraceae generally bee-pollinated.,unknown,unknown,inference,low
Anisophyllea cinnamomoides (Gardner & Champ.) Alston,unknown,actinomorphic,flies,Small flowers likely insect-pollinated.,unknown,unknown,inference,low
Anoectochilus setaceus Blume,white,zygomorphic,flies,Jewel orchids often fly-pollinated.,unknown,unknown,inference,low
Apluda mutica L.,none,unknown,wind,Poaceae wind-pollinated.,unknown,unknown,inference,low
Aponogeton crispus Thunb.,white,actinomorphic,beetles,Aponogeton often visited by beetles.,unknown,unknown,inference,low
Aponogeton dassanayakei Manaw. & Yakand.,white,actinomorphic,beetles,Aquatic beetle pollination likely.,unknown,unknown,inference,low
Aponogeton rigidifolius H.Bruggen,white,actinomorphic,beetles,Similar to other Aponogeton.,unknown,unknown,inference,low
Aporosa cardiosperma (Gaertn.) Merr.,greenish,actinomorphic,flies,Small inconspicuous flowers.,unknown,unknown,inference,low
Ardisia polycephala Wall.,white,actinomorphic,flies,Ardisia small flowers attract flies.,unknown,unknown,inference,low
Arecales,none,actinomorphic,wind,Palms have diverse systems but often wind.,unknown,unknown,flora,low
Aristolochia bracteolata Lam.,purple,actinomorphic,flies,Trap flowers characteristic of Aristolochia.,unknown,unknown,inference,medium
Aristolochia gibertii Hook.,purple,actinomorphic,flies,Deceptive fly pollination.,unknown,unknown,inference,medium
Artanema longifolium (L.) Vatke,blue,zygomorphic,bees,Acanthaceae bee-pollinated.,unknown,unknown,inference,low
Artemisia dubia Wall. ex Besser,none,actinomorphic,wind,Artemisia wind-pollinated.,obligate_outcrossing,SI,review,medium
Artocarpus hirsutus Lam.,greenish,actinomorphic,flies,Moraceae often fly/beetle-pollinated.,unknown,unknown,inference,low
Arundina graminifolia subsp. graminifolia,pink,zygomorphic,bees,Orchid with bee-pollination.,unknown,unknown,inference,medium
Arundinaria densifolia Munro,none,unknown,wind,Bamboo wind-pollinated.,unknown,unknown,inference,low
Asparagus gonoclados Baker,white,actinomorphic,bees,Asparagus small flowers attract bees.,unknown,unknown,inference,low
Axinandra zeylanica Thwaites,unknown,actinomorphic,flies,Inconspicuous flowers.,unknown,unknown,inference,low
Bambusa oldhamii Munro,none,unknown,wind,Bamboo wind-pollinated.,unknown,unknown,inference,low
Barleria L.,blue,zygomorphic,bees,Acanthaceae bee-pollinated.,unknown,unknown,inference,low
Bauhinia galpinii N.E.Br.,red,zygomorphic,birds,Bauhinia often bird-pollinated.,unknown,unknown,inference,medium
Begonia cathayana Hemsl.,pink,zygomorphic,flies,"Begonia unisexual flowers, fly-pollinated.",mixed_mating,likely_SC,inference,medium
Begonia dipetala Graham,pink,zygomorphic,flies,Typical Begonia traits.,mixed_mating,likely_SC,inference,medium
Begonia subpeltata Wight,pink,zygomorphic,flies,Fly-pollination typical.,mixed_mating,likely_SC,inference,medium
Begonia ulmifolia Willd.,pink,zygomorphic,flies,Buzz/fly visitors common.,mixed_mating,likely_SC,inference,medium
Belamcanda chinensis (L.) DC.,orange,actinomorphic,bees,Iridaceae often bee-pollinated.,mixed_mating,unknown,inference,medium
Benstonea thwaitesii (Martelli) Callm. & Buerki,unknown,actinomorphic,wind,Some Pandanaceae wind-pollinated.,unknown,unknown,inference,low
Bignonia magnifica W.Bull,purple,tubular,birds,Large Bignoniaceae often bird-pollinated.,unknown,unknown,inference,medium
Biophytum nervifolium Thwaites,yellow,actinomorphic,bees,Oxalidaceae often bee-pollinated.,unknown,unknown,inference,low
Blepharis integrifolia (L.fil.) E.Mey. & Drège,blue,zygomorphic,bees,Acanthaceae bee-pollinated.,unknown,unknown,inference,low
Blumea barbata Wall. ex DC.,yellow,actinomorphic,bees,Asteraceae bee-pollinated.,unknown,unknown,inference,low
Blumea bifoliata (L.) DC.,yellow,actinomorphic,bees,Typical Asteraceae.,unknown,unknown,inference,low
Bonnaya oppositifolia (Retz.) Spreng.,blue,zygomorphic,bees,Plantaginaceae insect-pollinated.,unknown,unknown,inference,low
Boucerosia umbellata (Haw.) Wight & Arn.,brown,actinomorphic,flies,Ceropegia relatives fly-pollinated.,unknown,unknown,inference,medium
Brunfelsia uniflora (Pohl) D.Don,purple,actinomorphic,moths,"Strong scent, night opening.",unknown,unknown,inference,medium
Buckinghamia celsissima F.Muell.,white,actinomorphic,bees,Proteaceae often insect-pollinated.,unknown,unknown,inference,low
Bulbophyllum petiolare Thwaites,yellow,zygomorphic,flies,Bulbophyllum deceptive fly pollination.,unknown,unknown,inference,medium
Bunchosia glandulifera (Jacq.) Kunth,yellow,actinomorphic,bees,Malpighiaceae bee-pollinated.,unknown,unknown,inference,low
Caesalpinia Plum. ex L.,yellow,zygomorphic,bees,Legume bee-pollination.,unknown,unknown,inference,low
Cajanus Adans.,yellow,zygomorphic,bees,Cajanus typical bee-pollination.,unknown,unknown,inference,low
Calamus radiatus Thwaites,unknown,actinomorphic,wind,Rattan palms often wind-pollinated.,unknown,unknown,inference,low
Calamus thwaitesii Becc.,unknown,actinomorphic,wind,Similar to other Calamus.,unknown,unknown,inference,low
Calamus zeylanicus Becc.,unknown,actinomorphic,wind,Wind/insect mix possible.,unknown,unknown,inference,low
Calanthe perrottetii A.Rich.,white,zygomorphic,bees,Calanthe typically bee-pollinated.,unknown,unknown,inference,medium
Calathea warscewiczii (L.Mathieu ex Planch.) Planch. & Linden,white,zygomorphic,bees,Marantaceae bee-pollinated.,unknown,unknown,inference,low
Callicarpa nudiflora Hook. & Arn.,purple,actinomorphic,bees,Lamiaceae bee-pollinated.,unknown,unknown,inference,low
Callicarpa tomentosa (L.) L.,purple,actinomorphic,bees,Typical Callicarpa.,unknown,unknown,inference,low
Calophyllum bracteatum Thwaites,white,actinomorphic,bees,Calophyllum often bee-pollinated.,unknown,unknown,inference,low
Calophyllum tomentosum Wight,white,actinomorphic,bees,Bee/insect visitors.,unknown,unknown,inference,low
Calotropis R.Br.,white,actinomorphic,bees,Complex flowers attract bees.,mixed_mating,SC,review,medium
Canarium bengalense Roxb.,greenish,actinomorphic,flies,Burseraceae small flowers.,unknown,unknown,inference,low
Cannabis L.,greenish,actinomorphic,wind,Cannabis wind-pollinated.,obligate_outcrossing,SI,review,high
Canscora alata (Roth) Wall.,yellow,actinomorphic,butterflies,Gentianaceae insect-pollinated.,unknown,unknown,inference,low
Canscora heteroclita (L.) Gilg,yellow,actinomorphic,butterflies,Similar to other Canscora.,unknown,unknown,inference,low
Canthium rheedei DC.,white,actinomorphic,flies,Rubiaceae small flowers.,unknown,unknown,inference,low
Capparis grandis L.fil.,white,actinomorphic,bees,Large stamens attract bees.,unknown,unknown,inference,low
Capparis moonii Wight,white,actinomorphic,bees,Bee-pollinated Capparaceae.,unknown,unknown,inference,low
Capparis roxburghii DC.,white,actinomorphic,bees,Large showy stamens.,unknown,unknown,inference,low
Carmona retusa (Vahl) Masam.,white,actinomorphic,bees,Boraginaceae insect visitors.,unknown,unknown,inference,low
Catharanthus pusillus (Murray) G.Don,white,actinomorphic,moths,Apocynaceae often moth-pollinated.,unknown,unknown,inference,low
Cathormion umbellatum (Vahl) Kosterm.,white,actinomorphic,bees,Mimosoid legumes.,unknown,unknown,inference,low
Cattleya Lindl.,pink,zygomorphic,bees,Large orchid flowers attract bees.,obligate_outcrossing,SI,review,high
Cerastium lanceolatum (Poir.) Volponi,white,actinomorphic,flies,Caryophyllaceae generalist-pollinated.,unknown,unknown,inference,low
Ceropegia candelabrum L.,brown,actinomorphic,flies,Deceptive fly-pollinated.,unknown,unknown,inference,medium
Ceropegia candelabrum var. biflora (L.) Ansari,brown,actinomorphic,flies,Similar pollination syndrome.,unknown,unknown,inference,medium
Ceropegia elegans Wall.,brown,actinomorphic,flies,Fly-trap flowers.,unknown,unknown,inference,medium
Chamaecrista absus (L.) H.S.Irwin & Barneby,yellow,zygomorphic,bees,Buzz-pollinated.,unknown,unknown,inference,medium
Chukrasia tabularis A.Juss.,white,actinomorphic,bees,Meliaceae insect-pollinated.,unknown,unknown,inference,low
Chusquea villosa (L.G.Clark) L.G.Clark,none,unknown,wind,Poaceae wind-pollination.,unknown,unknown,inference,low
Cinchona succirubra Pav. ex Klotzsch,pink,actinomorphic,bees,Rubiaceae tubular flowers.,unknown,unknown,inference,low
Cinnamomum aromaticum Nees,greenish,actinomorphic,flies,Lauraceae small flowers.,unknown,unknown,inference,low
Cinnamomum ovalifolium Wight,greenish,actinomorphic,flies,Similar to other Lauraceae.,unknown,unknown,inference,low
Cinnamomum sinharajaense Kosterm.,greenish,actinomorphic,flies,Insect-pollination likely.,unknown,unknown,inference,low
Cleistanthus collinus (Roxb.) Benth. ex Hook.f.,greenish,actinomorphic,flies,Small Euphorbiaceae flowers.,unknown,unknown,inference,low
Cleomaceae,yellow,actinomorphic,bees,Cleome relatives mainly bee-pollinated.,unknown,unknown,inference,low
Clerodendrum speciosissimum Jacob-Makoy,red,zygomorphic,birds,Bright red tubular flowers.,unknown,unknown,inference,medium
Clerodendrum splendens G.Don,red,tubular,birds,Bird-pollinated.,unknown,unknown,inference,medium
Coccoloba caracasana Meisn.,white,actinomorphic,flies,Polygonaceae small flowers.,unknown,unknown,inference,low
Codariocalyx motorius (Houtt.) H.Ohashi,purple,zygomorphic,bees,Legume flower.,unknown,unknown,inference,low
Coleus lanuginosus Hochst. ex Benth.,purple,zygomorphic,bees,Lamiaceae bee-pollinated.,unknown,unknown,inference,low
Coleus malabaricus Benth.,purple,zygomorphic,bees,Typical Coleus.,unknown,unknown,inference,low
Colocasia fontanesii Schott,greenish,actinomorphic,flies,Araceae fly-pollinated.,unknown,unknown,inference,low
Commelina appendiculata C.B.Clarke,blue,zygomorphic,bees,Commelina insect-pollinated.,unknown,unknown,inference,low
Commiphora berryi (Arn.) Engl.,greenish,actinomorphic,flies,Small Burseraceae flowers.,unknown,unknown,inference,low
Connarus monocarpus (L.) Wight & Arn.,white,actinomorphic,bees,Sapindaceae insect visitors.,unknown,unknown,inference,low
Cordia oblongifolia Thwaites,white,actinomorphic,bees,Boraginaceae bee visitors.,unknown,unknown,inference,low
Corypha L.,white,actinomorphic,bees,Large palm inflorescences attract insects.,unknown,unknown,inference,low
Costus dubius (Afzel.) K.Schum.,yellow,zygomorphic,bees,Costaceae bee-pollinated.,unknown,unknown,inference,low
Craterostigma nummulariifolium (D.Don) Eb.Fisch. et al.,blue,zygomorphic,bees,Linderniaceae bee visitors.,unknown,unknown,inference,low
Crotalaria laburnifolia L.,yellow,zygomorphic,bees,Buzz-pollinated legume.,unknown,unknown,inference,medium
Crotalaria sagittalis L.,yellow,zygomorphic,bees,Typical Crotalaria.,unknown,unknown,inference,medium
Croton klotzschianus (Wight) Thwaites,greenish,actinomorphic,flies,Euphorbiaceae small flowers.,unknown,unknown,inference,low
Cryptocoryne undulata Wendt,none,actinomorphic,flies,Araceae underwater/fly-pollination.,unknown,unknown,inference,low
Cryptocoryne walkeri Schott,none,actinomorphic,flies,Similar pollination mode.,unknown,unknown,inference,low
Curcuma albiflora Thwaites,white,zygomorphic,bees,Zingiberaceae bee visitors.,unknown,unknown,inference,low
Curcuma aromatica Salisb.,yellow,zygomorphic,bees,Fragrant tubular flowers.,unknown,unknown,inference,low
Cyanotis lanceolata Wight,blue,zygomorphic,bees,Commelinaceae small bee-pollinated flowers.,unknown,unknown,inference,low
Cyanthillium hookerianum (Arn.) H.Rob.,purple,actinomorphic,bees,Asteraceae bee-pollination.,unknown,unknown,inference,low
Cyathea walkerae Hook.,none,none,none,Tree fern; no flowers.,unknown,unknown,flora,high
Cycas zeylanica (J.Schust.) A.Lindstr. & K.D.Hill,yellowish,cone_like,unknown,cycad with pollen and seed cones likely insect assisted and wind dispersed,unknown,unknown,inference,low
Cymbidium ensifolium (L.) Sw.,white_green_yellow,zygomorphic,bees,epiphytic cymbidium orchid pollinated mainly by bees,mixed_mating,likely_SC,inference,medium
Cymbidium haematodes Lindl.,red,zygomorphic,bees,showy red cymbidium orchid likely bee pollinated,mixed_mating,likely_SC,inference,low
Cynanchum callialatum Buch.-Ham. ex Wight,white,zygomorphic,flies,asclepiad vine with small pale flowers likely fly pollinated,unknown,unknown,inference,low
Cynanchum viminale (L.) L.,white_green,zygomorphic,flies,leafless asclepiad climber with small scented flowers mainly flies and small bees,unknown,unknown,inference,low
